編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
1087,Ponerorchis tominagai,紅斑蘭,,Endemic,,,rank3,,,,,,,
1088,Spathoglottis plicata,紫苞舌蘭,,,,,,,,,,,A,HR OP MP
1089,Taeniophyllum complanatum,扁蜘蛛蘭,,Endemic,,,rank3,,,,,,,
1090,Taeniophyllum glandulosum,蜘蛛蘭,,,,,,,,,,,C,HR
1091,Tainia latifolia ,闊葉杜鵑蘭,,,,,,第三級,,,,,,
1092,Thelasis pygmaea,閉花八粉蘭,,,,,,,稀有級,I,I,I,A E,HR
1093,Thrixspermum devolium,鉤唇風鈴蘭,,,,,,第四級,,,,,,
1094,Thrixspermum eximium,異色風蘭,,,,,,,稀有級,III,III,III,,
1095,Thrixspermum fantasticum,金唇風蘭,,,,,,,稀有級,III,III,III,,
1096,Thrixspermum merguense,高士佛風蘭,,,,,,第二級,稀有級,III,III,III,,
1097,Thrixspermum pensile,倒垂風蘭,,,,,,第二級,,,,,A E,HR
1098,Thrixspermum subulatum,厚葉風蘭,,,,,,,稀有級,I,I,I,A,HR
1099,Tipularia odorata,南湖蠅蘭,,Endemic,,,,第三級,稀有級,III,III,III,C E,HR
1100,Trichoglottis rosea var. breviracema,短穗毛舌蘭,,,,,,,,,,,A E,HR OP
1101,Tuberolabium kotoense,管唇蘭,,Endemic,,,rank2,,稀有級,II※,II,II,A,HR OP
1102,Vanda lamellata,雅美萬代蘭,,,,,,,稀有級,"II,III※","II,III","II,III",A,
1103,Vexillabium integrum,綠葉旗唇蘭,,Endemic,,,rank2,,,,,,,
1104,Zeuxine agyokuana,阿玉線柱蘭,,,,,,,稀有級,III,III,III,,
1105,Zeuxine integrilabella,全唇線柱蘭,,Endemic,,,rank3,,,,,,,
1106,Zeuxine kantokeiense,關刀溪線柱蘭,,,,,,,,,,,A E,HR
1107,Zeuxine nemorosa,裂唇線柱蘭,,,,,,第二級,,,,,,
1108,PALMAE,棕櫚科,,,,,,,,,,,,
1109,Calamus quiquesetinervius,黃藤,,Endemic,,,,,,,,II,,
1110,Livistona chinensis var. subglobosa,蒲葵,,,,,,,稀有級,III,III,III,A,HR
1111,Pinanga tashiroi,山檳榔,,Endemic,,第一級,rank1,,稀有級,III※,III※,III※,,
1112,PANDANACEAE,露兜樹科,,,,,,,,,,,,
1113,Dracaena angustifolia,番仔林投,,,,,,,,,,,C,HR
1114,PHILYDRACEAE,田蔥科,,,,,,,,,,,,
1115,Philydrum lanuginosum,田蔥,,,,,,,漸危級,I,I,I,,
1116,POTAMOGETONACEAE,眼子菜科,,,,,,,,,,,,
1117,Potamogeton cristatus,冠果眼子菜,,,,,,,漸危級,I,I,I,,
1118,Potamogeton maackianus,馬克眼子菜,,,,,,,稀有級,,,,,
1119,Potamogeton oxyphyllus,線葉藻,,,,,,,稀有級,I※,I※,I※,,
1120,SMILACACEAE,菝契科,,,,,,,,,,,,
1121,Heterosmilax seisuiensis,台中假土茯苓,,Endemic,,,rank4,,,,,,,
1122,Smilax horridiramula,密刺菝契,,Endemic,NT(Ⅵ),,rank3,,,,,,,
1123,Smilax luei,呂氏菝契,,Endemic,CR(Ⅲ),,rank1,第一級,稀有級,III,III,III,,
1124,Smilax nantoensis,南投菝契,,Endemic,,,rank3,第三級,稀有級,III,III,III,,
1125,Smilax nipponica,七星牛尾菜,,,,,,,稀有級,,,,,
1126,SPARGANIACEAE,黑三稜科,,,,,,,,,,,,
1127,Sparganium fallax,東亞黑三稜,,,,,,,稀有級,III,III,III,,
1128,TRIURIDACEAE,黴草科,,,,,,,,,,,,
1129,Sciaphila ramosa,多枝黴草,,Endemic,VU(Ⅵ),,rank1,,,,,,,
1130,XYRIDACEAE,蔥草科,,,,,,,,,,,,
1131,Xyris formosana ,桃園草,,Endemic,CR(II),,rank1,第一級,稀有級,I,I,I,,
1132,ZANNICHELLIACEAE,角果藻科,,,,,,,,,,,,
1133,Halodule pinifolia,線葉二藥藻,,,,,,,稀有級,III,III,III,,
1134,Zannichellia palustris,角果藻,,,,,,,漸危級,"I,III","I,III","I,III",,
1135,ZINGIBERACEAE,薑科,,,,,,,,,,,,
1136,Alpinia japonica,山薑,,,,,,,,,,,A,HR
1137,Vanoverberghia sasakiana,蘭嶼法氏薑,,Endemic,EN(Ⅵ),,rank2,,,,,,,
1138,Zingiber oligophyllum,少葉薑,,Endemic,,第四級,rank4,,,,,,,
1139,ZOSTERACEAE,甘藻科,,,,,,,,,,,,
1140,Zostera japonica,甘藻,,,,,,,稀有級,III,III,III,,
